#Overview of data in ClinVar by gene, dated September 29, 2015
#Symbol	GeneID	Total_submissions	Total_alleles	Submissions_reporting_this_gene	Alleles_reported_Pathogenic_Likely_pathogenic	Gene_MIM_number
ADAMTSL3	57188	11	11	-	1	609199
ADAMTSL4	54507	11	9	9	7	610113
ADAMTSL4-AS1	574406	2	2	-	-	-
ADAMTSL5	339366	10	10	-	-	-
ADAP1	11033	30	30	-	-	608114
ADAP2	55803	26	26	-	-	608635
ADAR	103	24	23	21	17	146920
ADARB1	104	52	52	-	3	601218
ADARB2	105	30	30	-	2	602065
ADARB2-AS1	642394	25	25	-	-	-
ADAT1	23536	20	20	-	-	604230
ADAT2	134637	3	3	-	-	615388
ADAT3	113179	15	15	2	2	615302
ADCK1	57143	10	10	-	-	-
ADCK2	90956	19	19	-	-	-
ADCK3	56997	48	46	19	12	606980
ADCK4	79934	9	9	7	7	615567
ADCK5	203054	34	34	-	-	-
ADCY1	107	10	10	1	1	103072
ADCY10	55811	11	11	2	-	605205
ADCY2	108	54	54	-	2	103071
ADCY3	109	10	10	-	-	600291
ADCY4	196883	11	11	-	-	600292
ADCY5	111	10	10	1	4	600293
ADCY6	112	2	2	1	1	600294
ADCY7	113	11	11	-	-	600385
ADCY8	114	28	28	-	-	103070
ADCY9	115	13	13	-	3	603302
ADCYAP1	116	67	67	-	-	102980
ADCYAP1R1	117	9	9	-	-	102981
ADD1	118	65	65	1	-	102680
ADD2	119	4	4	-	-	102681
ADD3	120	9	9	-	-	601568
ADD3-AS1	100505933	9	9	-	-	-
ADGB	79747	5	5	-	-	614630
ADGRA1	84435	46	46	-	-	612302
ADGRA1-AS1	100128127	46	46	-	-	-
ADGRA2	25960	32	32	-	-	606823
ADGRA3	166647	11	11	-	2	612303
ADGRB1	575	29	29	-	-	602682
ADGRB2	576	6	6	-	-	602683
ADGRB3	577	3	3	-	2	602684
ADGRD1	283383	12	12	-	1	613639
ADGRD2	347088	16	16	-	-	-
ADGRE1	2015	8	8	-	-	600493
ADGRE2	30817	9	9	-	2	606100
ADGRE3	84658	8	8	-	-	606101
ADGRE4P	326342	9	9	-	-	612305
ADGRE5	976	8	8	-	-	601211
ADGRF1	266977	2	2	-	-	-
ADGRF2	222611	3	3	-	-	-
ADGRF3	165082	11	11	-	2	-
ADGRF4	221393	4	4	-	-	614268
ADGRF5	221395	2	2	-	-	-
ADGRG1	9289	64	59	59	20	604110
ADGRG2	10149	87	87	-	-	300572
ADGRG3	222487	4	4	-	-	-
ADGRG4	139378	88	88	-	1	-
ADGRG5	221188	4	4	-	-	-
ADGRG6	57211	9	7	6	4	612243
ADGRG7	84873	10	9	-	-	612307
ADGRL1	22859	9	9	-	2	616416
ADGRL2	23266	7	7	-	-	607018
ADGRL3	23284	7	7	-	-	616417
ADGRL3-AS1	101927186	7	7	-	-	-
